msec	Engine Speed(rpm)	Airflow Input(v)	Airflow Output(v)	Throttle Position(%)	Knock Sensor 1	Knock Sensor 2	I/J Input Duration	Ignition Timing	Charge Efficiency	Vehicle Speed Input	I/J Input Duty cycle	I/J Output Duty cycle	Airflow Adjustment(%)	Throttle Opening Rate	RPM Change Rate	REMOTE SWITCH	I/J Output Duration	I/J Adjustment Map(%)	Ignition Adjustment Map	
920	827	1.16	1.16	0.2	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
940	827	1.17	1.17	0.2	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
960	828	1.18	1.18	0.2	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
980	828	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
1000	828	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	0u	OFF	2.6	0.0	0.0	
1020	828	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	0u	OFF	2.6	0.0	0.0	
1040	828	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	0u	OFF	2.6	0.0	0.0	
1060	827	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
1080	826	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-2u	OFF	2.6	0.0	0.0	
1100	826	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
1120	827	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	0u	OFF	2.6	0.0	0.0	
1140	827	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
1160	827	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
1180	825	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-2u	OFF	2.6	0.0	0.0	
1200	824	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-3u	OFF	2.6	0.0	0.0	
1220	824	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
1240	827	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	0u	OFF	2.6	0.0	0.0	
1260	829	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	5u	OFF	2.6	0.0	0.0	
1280	829	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	5u	OFF	2.6	0.0	0.0	
1300	831	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	4u	OFF	2.6	0.0	0.0	
1320	831	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	2u	OFF	2.6	0.0	0.0	
1340	830	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
1360	829	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
1380	829	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
1400	829	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	0u	OFF	2.6	0.0	0.0	
1420	829	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	0u	OFF	2.6	0.0	0.0	
1440	829	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	0u	OFF	2.6	0.0	0.0	
1460	827	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-2u	OFF	2.6	0.0	0.0	
1480	826	1.17	1.17	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-2u	OFF	2.5	0.0	0.0	
1500	826	1.17	1.17	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-3u	OFF	2.5	0.0	0.0	
1520	826	1.18	1.18	0.0	0	0	2.5	6.0	21	0	1.7	1.7	0.0	0	0u	OFF	2.5	0.0	0.0	
1540	828	1.17	1.17	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	2u	OFF	2.5	0.0	0.0	
1560	829	1.17	1.17	0.2	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	3u	OFF	2.5	0.0	0.0	
1580	828	1.17	1.17	0.2	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.5	0.0	0.0	
1600	824	1.18	1.18	0.2	0	0	2.5	6.0	21	0	1.7	1.7	0.0	0	-5u	OFF	2.5	0.0	0.0	
1620	824	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-4u	OFF	2.6	0.0	0.0	
1640	822	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-2u	OFF	2.6	0.0	0.0	
1660	822	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-2u	OFF	2.6	0.0	0.0	
1680	824	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	2u	OFF	2.6	0.0	0.0	
1700	826	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	2u	OFF	2.6	0.0	0.0	
1720	826	1.15	1.15	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	2u	OFF	2.6	0.0	0.0	
1740	826	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	0u	OFF	2.6	0.0	0.0	
1760	824	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-2u	OFF	2.6	0.0	0.0	
1780	821	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-5u	OFF	2.6	0.0	0.0	
1800	818	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-6u	OFF	2.6	0.0	0.0	
1820	817	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-4u	OFF	2.6	0.0	0.0	
1840	815	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-4u	OFF	2.6	0.0	0.0	
1860	815	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-2u	OFF	2.6	0.0	0.0	
1880	815	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	0u	OFF	2.6	0.0	0.0	
1900	813	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-2u	OFF	2.6	0.0	0.0	
1920	812	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-2u	OFF	2.6	0.0	0.0	
1940	811	1.16	1.16	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
1960	811	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
1980	813	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	2u	OFF	2.6	0.0	0.0	
2000	816	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	5u	OFF	2.6	0.0	0.0	
2020	818	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	3u	OFF	2.6	0.0	0.0	
2040	817	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	2u	OFF	2.6	0.0	0.0	
2060	817	1.16	1.16	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.5	0.0	0.0	
2080	816	1.17	1.17	0.0	0	0	2.5	6.0	21	0	1.7	1.7	0.0	0	-1u	OFF	2.5	0.0	0.0	
2100	816	1.16	1.16	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.5	0.0	0.0	
2120	817	1.17	1.17	0.0	0	0	2.5	6.0	21	0	1.7	1.7	0.0	0	1u	OFF	2.5	0.0	0.0	
2140	818	1.17	1.17	0.0	0	0	2.5	6.0	21	0	1.7	1.7	0.0	0	1u	OFF	2.5	0.0	0.0	
2160	818	1.16	1.16	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.5	0.0	0.0	
2180	818	1.17	1.17	0.0	0	0	2.5	6.0	21	0	1.7	1.7	0.0	0	1u	OFF	2.5	0.0	0.0	
2200	817	1.19	1.20	0.0	0	0	2.5	6.0	21	0	1.7	1.7	0.0	0	-1u	OFF	2.5	0.0	0.0	
2220	816	1.17	1.17	0.2	0	0	2.5	6.0	21	0	1.7	1.7	0.0	0	-2u	OFF	2.5	0.0	0.0	
2240	815	1.16	1.16	0.2	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.5	0.0	0.0	
2260	816	1.17	1.17	0.2	0	0	2.5	6.0	21	0	1.7	1.7	0.0	0	-1u	OFF	2.5	0.0	0.0	
2280	816	1.18	1.18	0.0	0	0	2.5	6.0	21	0	1.7	1.7	0.0	0	1u	OFF	2.5	0.0	0.0	
2300	816	1.17	1.17	0.0	0	0	2.5	6.0	21	0	1.7	1.7	0.0	0	0u	OFF	2.5	0.0	0.0	
2320	817	1.18	1.18	0.0	0	0	2.5	6.0	21	0	1.7	1.7	0.0	0	1u	OFF	2.5	0.0	0.0	
2340	816	1.16	1.16	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.5	0.0	0.0	
2360	816	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
2380	817	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	0u	OFF	2.6	0.0	0.0	
2400	817	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
2420	819	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	2u	OFF	2.6	0.0	0.0	
2440	820	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	3u	OFF	2.6	0.0	0.0	
2460	819	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
2480	816	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
2500	816	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-4u	OFF	2.6	0.0	0.0	
2520	814	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-2u	OFF	2.6	0.0	0.0	
2540	812	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-4u	OFF	2.6	0.0	0.0	
2560	813	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-2u	OFF	2.6	0.0	0.0	
2580	814	1.18	1.18	0.2	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
2600	816	1.16	1.16	0.2	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	3u	OFF	2.6	0.0	0.0	
2620	816	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	2u	OFF	2.6	0.0	0.0	
2640	817	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
2660	817	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
2680	818	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
2700	820	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	3u	OFF	2.6	0.0	0.0	
2720	820	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	3u	OFF	2.6	0.0	0.0	
2740	820	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	0u	OFF	2.6	0.0	0.0	
2760	820	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	0u	OFF	2.6	0.0	0.0	
2780	819	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
2800	819	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
2820	820	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	0u	OFF	2.6	0.0	0.0	
2840	820	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
2860	821	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	2u	OFF	2.6	0.0	0.0	
2880	824	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	4u	OFF	2.6	0.0	0.0	
2900	825	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	4u	OFF	2.6	0.0	0.0	
2920	825	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
2940	824	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
2960	824	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
2980	824	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
3000	827	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	3u	OFF	2.6	0.0	0.0	
3020	829	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	5u	OFF	2.6	0.0	0.0	
3040	830	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	2u	OFF	2.6	0.0	0.0	
3060	830	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
3080	829	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
3100	828	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-2u	OFF	2.6	0.0	0.0	
3120	828	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
3140	829	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
3160	832	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	4u	OFF	2.6	0.0	0.0	
3180	832	1.17	1.17	0.2	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	4u	OFF	2.6	0.0	0.0	
3200	834	1.17	1.17	0.2	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	2u	OFF	2.6	0.0	0.0	
3220	834	1.18	1.18	0.2	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	2u	OFF	2.6	0.0	0.0	
3240	833	1.16	1.16	0.2	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-1u	OFF	2.6	0.0	0.0	
3260	834	1.17	1.17	0.2	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-1u	OFF	2.6	0.0	0.0	
3280	836	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	3u	OFF	2.6	0.0	0.0	
3300	836	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	3u	OFF	2.6	0.0	0.0	
3320	838	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	2u	OFF	2.6	0.0	0.0	
3340	840	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	4u	OFF	2.6	0.0	0.0	
3360	840	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	2u	OFF	2.6	0.0	0.0	
3380	840	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	0u	OFF	2.6	0.0	0.0	
3400	840	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	0u	OFF	2.6	0.0	0.0	
3420	841	1.15	1.15	0.0	0	0	2.6	6.0	19	0	1.8	1.8	0.0	0	0u	OFF	2.6	0.0	0.0	
3440	841	1.18	1.18	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	1u	OFF	2.6	0.0	0.0	
3460	841	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	1u	OFF	2.6	0.0	0.0	
3480	842	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	1u	OFF	2.6	0.0	0.0	
3500	841	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	1u	OFF	2.6	0.0	0.0	
3520	838	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.8	1.8	0.0	0	-4u	OFF	2.6	0.0	0.0	
3540	836	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-4u	OFF	2.6	0.0	0.0	
3560	836	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-2u	OFF	2.6	0.0	0.0	
3580	835	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.8	1.8	0.0	0	-3u	OFF	2.6	0.0	0.0	
3600	835	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-1u	OFF	2.6	0.0	0.0	
3620	836	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	1u	OFF	2.6	0.0	0.0	
3640	835	1.18	1.18	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	1u	OFF	2.6	0.0	0.0	
3660	833	1.17	1.17	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-3u	OFF	2.5	0.0	0.0	
3680	833	1.18	1.18	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-2u	OFF	2.5	0.0	0.0	
3700	831	1.17	1.17	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-4u	OFF	2.5	0.0	0.0	
3720	832	1.17	1.17	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-2u	OFF	2.5	0.0	0.0	
3740	833	1.18	1.18	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.5	0.0	0.0	
3760	834	1.17	1.17	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.5	0.0	0.0	
3780	833	1.16	1.16	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.5	0.0	0.0	
3800	833	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.8	1.8	0.0	0	1u	OFF	2.6	0.0	0.0	
3820	832	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-1u	OFF	2.6	0.0	0.0	
3840	831	1.17	1.17	0.2	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-2u	OFF	2.6	0.0	0.0	
3860	834	1.17	1.17	0.2	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-1u	OFF	2.6	0.0	0.0	
3880	836	1.18	1.18	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	3u	OFF	2.6	0.0	0.0	
3900	836	1.15	1.15	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	2u	OFF	2.6	0.0	0.0	
3920	836	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	2u	OFF	2.6	0.0	0.0	
3940	834	1.18	1.18	0.0	0	0	2.5	6.0	21	0	1.7	1.7	0.0	0	-2u	OFF	2.5	0.0	0.0	
3960	832	1.16	1.16	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-4u	OFF	2.5	0.0	0.0	
3980	833	1.16	1.16	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-2u	OFF	2.5	0.0	0.0	
4000	834	1.17	1.17	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.5	0.0	0.0	
4020	835	1.16	1.16	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	2u	OFF	2.5	0.0	0.0	
